analysis,test_original,statistic_original,p_value_original,AB_mean_original,NB_mean_original,BB_mean_original,EM_mean_original,test_cleaned,statistic_cleaned,p_value_cleaned,AB_mean_cleaned,NB_mean_cleaned,BB_mean_cleaned,EM_mean_cleaned
AB vs NB: LDI,Mann-Whitney U,3487.0,0.8179231859096867,-0.032499999999999994,-0.02359550561797752,,,Mann-Whitney U,3415.5,0.9467068885782285,-0.032911392405063286,-0.026436781609195395,,
AB vs NB: REC index,Mann-Whitney U,2714.5,0.007385066083366751,0.6609756097560975,0.724582077281447,,,Mann-Whitney U,2517.0,0.0027701614084584647,0.6582278481012657,0.7289038407625454,,
AB vs NB: d-prime,Welch's t,-2.709713915852664,0.0074441463188916705,1.4270349747390436,1.6282510507924015,,,Welch's t,-3.0190503970565854,0.0029446503143448397,1.417411713952736,1.641532212692955,,
AB vs NB: mean accuracy,Mann-Whitney U,2714.5,0.007385066083366751,0.8387499999999999,0.8713483146067416,,,Mann-Whitney U,2517.0,0.0027701614084584647,0.8373417721518986,0.8735632183908048,,
AB vs NB: median RT (ms),Mann-Whitney U,3190.0,0.24465470340046247,4717.9566412496315,4903.657321909972,,,Mann-Whitney U,3100.0,0.2772923974258733,4674.87977215152,4840.930844252671,,
BB vs EM: d-prime,Wilcoxon signed-rank,3125.0,0.004065881875223241,,,1.4372186202794375,1.5867810110744822,Wilcoxon signed-rank,2969.5,0.0027426220276343047,,,1.4352278337737563,1.593308137550697
BB vs EM: mean accuracy,Wilcoxon signed-rank,3040.0,0.0020758696720941192,,,0.8420118343195266,0.8698224852071006,Wilcoxon signed-rank,2851.5,0.001025282818456997,,,0.8415662650602409,0.8710843373493976
BB vs EM: median RT (ms),Paired t,3.7494058378644843,0.00024358768844555092,,,4955.582575145728,4710.329906509278,Paired t,3.6833993088076067,0.0003116166448689818,,,4900.26734819054,4661.969228916117
